county,Fuel,Year,Vehicles,Month,Los Angeles Dollars per Gallon,San Francisco Dollars per Gallon,Yearly,EV Amount,EV amount change in %,LA Annually Average Gasoline Price,LA Gas Price Change in %, SF Annually Average Gasoline Price ,SF Gas Price Change in %
Fresno,Battery Electric,2020,1355,20-Apr,$2.84 ,$2.94 ,,,,,,,
Fresno,Battery Electric,2021,1535,20-May,$2.77 ,$2.90 ,,,,,,,
Fresno,Battery Electric,2022,2070,20-Jun,$2.96 ,$3.08 ,,,,,,,
Glenn,Battery Electric,2020,65,20-Jul,$3.08 ,$3.22 ,,,,,,,
Glenn,Battery Electric,2021,85,20-Aug,$3.13 ,$3.32 ,,,,,,,
Glenn,Battery Electric,2022,120,20-Sep,$3.14 ,$3.34 ,,,,,,,
Humboldt,Battery Electric,2020,485,20-Oct,$3.10 ,$3.30 ,,,,,,,
Humboldt,Battery Electric,2021,535,20-Nov,$3.06 ,$3.30 ,,,,,,,
Humboldt,Battery Electric,2022,655,20-Dec,$3.10 ,$3.33 ,,,,,,,
Imperial,Battery Electric,2020,145,21-Jan,$3.23 ,$3.41 ,,,,,,,
Imperial,Battery Electric,2021,185,21-Feb,$3.45 ,$3.51 ,,,,,,,
Imperial,Battery Electric,2022,270,21-Mar,$3.79 ,$3.87 ,,,,,,,
Inyo,Battery Electric,2020,45,21-Apr,$3.90 ,$4.02 ,,,,,,,
Inyo,Battery Electric,2021,70,21-May,$4.05 ,$4.21 ,,,,,,,
Inyo,Battery Electric,2022,105,21-Jun,$4.16 ,$4.33 ,,,,,,,
Kern,Battery Electric,2020,955,21-Jul,$4.24 ,$4.38 ,,,,,,,
Kern,Battery Electric,2021,1160,21-Aug,$4.28 ,$4.47 ,,,,,,,
Kern,Battery Electric,2022,1580,21-Sep,$4.28 ,$4.45 ,,,,,,,
Kings,Battery Electric,2020,125,21-Oct,$4.37 ,$4.58 ,,,,,,,
Kings,Battery Electric,2021,140,21-Nov,$4.55 ,$4.82 ,,,,,,,
Kings,Battery Electric,2022,210,21-Dec,$4.56 ,$4.78 ,,,,,,,
Lake,Battery Electric,2020,245,22-Jan,$4.56 ,$4.75 ,,,,,,,
Lake,Battery Electric,2021,270,22-Feb,$4.66 ,$4.82 ,,,,,,,
Lake,Battery Electric,2022,345,22-Mar,$5.70 ,$5.75 ,,,,,,,
Lassen,Battery Electric,2020,25,22-Apr,$5.72 ,$5.75 ,,,,,,,
Lassen,Battery Electric,2021,40,22-May,$5.85 ,$6.02 ,,,,,,,
Lassen,Battery Electric,2022,70,22-Jun,$6.26 ,$6.42 ,,,,,,,
Los Angeles,Battery Electric,2020,18405,22-Jul,$5.87 ,$6.00 ,,,,,,,
Los Angeles,Battery Electric,2021,20485,22-Aug,$5.27 ,$5.54 ,,,,,,,
Los Angeles,Battery Electric,2022,24990,22-Sep,$5.32 ,$5.55 ,,,,,,,
Madera,Battery Electric,2020,220,22-Oct,$5.86 ,$6.02 ,,,,,,,
Madera,Battery Electric,2021,255,22-Nov,$5.14 ,$5.20 ,,,,,,,
Madera,Battery Electric,2022,350,22-Dec,$4.40 ,$4.47 ,,,,,,,
Marin,Battery Electric,2020,1535,,,,,,,,,,
Marin,Battery Electric,2021,1675,,,,,,,,,,
Marin,Battery Electric,2022,1955,,,,,,,,,,
Mariposa,Battery Electric,2020,45,,,,,,,,,,
Mariposa,Battery Electric,2021,55,,,,,,,,,,
Mariposa,Battery Electric,2022,75,,,,,,,,,,
Mendocino,Battery Electric,2020,465,,,,,,,,,,
Mendocino,Battery Electric,2021,540,,,,,,,,,,
Mendocino,Battery Electric,2022,680,,,,,,,,,,
Merced,Battery Electric,2020,390,,,,,,,,,,
Merced,Battery Electric,2021,500,,,,,,,,,,
Merced,Battery Electric,2022,660,,,,,,,,,,
Mono,Battery Electric,2020,40,,,,,,,,,,
Mono,Battery Electric,2021,50,,,,,,,,,,
Mono,Battery Electric,2022,80,,,,,,,,,,
Monterey,Battery Electric,2020,970,,,,,,,,,,
Monterey,Battery Electric,2021,1140,,,,,,,,,,
Monterey,Battery Electric,2022,1480,,,,,,,,,,
Napa,Battery Electric,2020,355,,,,,,,,,,
Napa,Battery Electric,2021,410,,,,,,,,,,
Napa,Battery Electric,2022,525,,,,,,,,,,
Nevada,Battery Electric,2020,275,,,,,,,,,,
Nevada,Battery Electric,2021,340,,,,,,,,,,
Nevada,Battery Electric,2022,405,,,,,,,,,,
Orange,Battery Electric,2020,4460,,,,,,,,,,
Orange,Battery Electric,2021,4920,,,,,,,,,,
Orange,Battery Electric,2022,5960,,,,,,,,,,
Placer,Battery Electric,2020,1090,,,,,,,,,,
Placer,Battery Electric,2021,1285,,,,,,,,,,
Placer,Battery Electric,2022,1590,,,,,,,,,,
Plumas,Battery Electric,2020,40,,,,,,,,,,
Plumas,Battery Electric,2021,65,,,,,,,,,,
Plumas,Battery Electric,2022,85,,,,,,,,,,
Riverside,Battery Electric,2020,2875,,,,,,,,,,
Riverside,Battery Electric,2021,3520,,,,,,,,,,
Riverside,Battery Electric,2022,4745,,,,,,,,,,
Sacramento,Battery Electric,2020,2755,,,,,,,,,,
Sacramento,Battery Electric,2021,3180,,,,,,,,,,
Sacramento,Battery Electric,2022,3925,,,,,,,,,,
San Benito,Battery Electric,2020,130,,,,,,,,,,
San Benito,Battery Electric,2021,135,,,,,,,,,,
San Benito,Battery Electric,2022,185,,,,,,,,,,
San Bernardino,Battery Electric,2020,2630,,,,,,,,,,
San Bernardino,Battery Electric,2021,3260,,,,,,,,,,
San Bernardino,Battery Electric,2022,4270,,,,,,,,,,
San Diego,Battery Electric,2020,5860,,,,,,,,,,
San Diego,Battery Electric,2021,6620,,,,,,,,,,
San Diego,Battery Electric,2022,8120,,,,,,,,,,
San Francisco,Battery Electric,2020,2130,,,,,,,,,,
San Francisco,Battery Electric,2021,2290,,,,,,,,,,
San Francisco,Battery Electric,2022,2730,,,,,,,,,,
San Joaquin,Battery Electric,2020,1115,,,,,,,,,,
San Joaquin,Battery Electric,2021,1340,,,,,,,,,,
San Joaquin,Battery Electric,2022,1710,,,,,,,,,,
San Luis Obispo,Battery Electric,2020,865,,,,,,,,,,
San Luis Obispo,Battery Electric,2021,1050,,,,,,,,,,
San Luis Obispo,Battery Electric,2022,1305,,,,,,,,,,
San Mateo,Battery Electric,2020,2755,,,,,,,,,,
San Mateo,Battery Electric,2021,2815,,,,,,,,,,
San Mateo,Battery Electric,2022,3330,,,,,,,,,,
Santa Barbara,Battery Electric,2020,1085,,,,,,,,,,
Santa Barbara,Battery Electric,2021,1235,,,,,,,,,,
Santa Barbara,Battery Electric,2022,1490,,,,,,,,,,
Santa Clara,Battery Electric,2020,6140,,,,,,,,,,
Santa Clara,Battery Electric,2021,6405,,,,,,,,,,
Santa Clara,Battery Electric,2022,7445,,,,,,,,,,
Santa Cruz,Battery Electric,2020,900,,,,,,,,,,
Santa Cruz,Battery Electric,2021,1035,,,,,,,,,,
Santa Cruz,Battery Electric,2022,1235,,,,,,,,,,
Shasta,Battery Electric,2020,380,,,,,,,,,,
Shasta,Battery Electric,2021,465,,,,,,,,,,
Shasta,Battery Electric,2022,670,,,,,,,,,,
Siskiyou,Battery Electric,2020,100,,,,,,,,,,
Siskiyou,Battery Electric,2021,135,,,,,,,,,,
Siskiyou,Battery Electric,2022,220,,,,,,,,,,
Solano,Battery Electric,2020,720,,,,,,,,,,
Solano,Battery Electric,2021,810,,,,,,,,,,
Solano,Battery Electric,2022,1035,,,,,,,,,,
Sonoma,Battery Electric,2020,1635,,,,,,,,,,
Sonoma,Battery Electric,2021,1785,,,,,,,,,,
Sonoma,Battery Electric,2022,2245,,,,,,,,,,
Stanislaus,Battery Electric,2020,855,,,,,,,,,,
Stanislaus,Battery Electric,2021,1010,,,,,,,,,,
Stanislaus,Battery Electric,2022,1340,,,,,,,,,,
Sutter,Battery Electric,2020,145,,,,,,,,,,
Sutter,Battery Electric,2021,185,,,,,,,,,,
Sutter,Battery Electric,2022,265,,,,,,,,,,
Tehama,Battery Electric,2020,100,,,,,,,,,,
Tehama,Battery Electric,2021,125,,,,,,,,,,
Tehama,Battery Electric,2022,165,,,,,,,,,,
Trinity,Battery Electric,2020,40,,,,,,,,,,
Trinity,Battery Electric,2021,70,,,,,,,,,,
Trinity,Battery Electric,2022,100,,,,,,,,,,
Tulare,Battery Electric,2020,575,,,,,,,,,,
Tulare,Battery Electric,2021,665,,,,,,,,,,
Tulare,Battery Electric,2022,835,,,,,,,,,,
Tuolumne,Battery Electric,2020,175,,,,,,,,,,
Tuolumne,Battery Electric,2021,235,,,,,,,,,,
Tuolumne,Battery Electric,2022,350,,,,,,,,,,
Ventura,Battery Electric,2020,1480,,,,,,,,,,
Ventura,Battery Electric,2021,1670,,,,,,,,,,
Ventura,Battery Electric,2022,2160,,,,,,,,,,
Yolo,Battery Electric,2020,520,,,,,,,,,,
Yolo,Battery Electric,2021,615,,,,,,,,,,
Yolo,Battery Electric,2022,765,,,,,,,,,,
Yuba,Battery Electric,2020,150,,,,,,,,,,
Yuba,Battery Electric,2021,160,,,,,,,,,,
Yuba,Battery Electric,2022,250,,,,,,,,,,
